CSA,NAME,LON,LAT,POP,ALAND,AWATER,ISCUS
248,"Findlay-Tiffin, OH",-83.45583291810362,41.07649616179061,129989,1082.351,4.0920000000000005,true
250,"Florence-Muscle Shoals-Russellville, AL",-87.66426305302893,34.750767069096355,182904,1894.8870000000002,94.75200000000001,true
258,"Fort Wayne-Huntington-Auburn, IN",-85.16401833381995,41.12809838910055,645409,3164.9849999999997,34.644,true
260,"Fresno-Hanford-Corcoran, CA",-119.78970405845598,36.72177282725682,1317395,9486.273,70.288,true
264,"Gainesville-Lake City, FL",-82.48467189480706,29.714565141769675,408945,3141.104,575.219,true
266,"Grand Rapids-Wyoming, MI",-85.7303949177035,42.97459477407296,1486055,5126.526,3119.2200000000003,true
267,"Green Bay-Shawano, WI",-88.09877858321546,44.57685449273976,373404,3120.867,1002.3569999999999,true
268,"Greensboro--Winston-Salem--High Point, NC",-80.00621273780224,36.06881302092012,1695306,4959.013000000001,72.739,true
273,"Greenville-Spartanburg-Anderson, SC",-82.30743817987731,34.77503098685234,1511905,5997.872000000001,170.953,true
274,"Greenville-Washington, NC",-77.29572247102081,35.56508686514344,214895,1485.1019999999999,133.296,true
276,"Harrisburg-York-Lebanon, PA",-76.84330995084642,40.12838418200916,1295259,3406.69,52.242999999999995,true
277,"Harrisonburg-Staunton-Stuarts Draft, VA",-78.93028135329055,38.29206426535992,261004,1869.0919999999999,8.042,true
279,"Hattiesburg-Laurel, MS",-89.27086182999132,31.44368503939723,237504,2981.05,16.648,true
284,"Hot Springs-Malvern, AR",-93.0347300060807,34.468020250863226,133220,1292.587,64.127,true
288,"Houston-Pasadena, TX",-95.44480795946569,29.79990422167693,7339672,12405.416,1796.459,true
290,"Huntsville-Decatur-Albertville, AL-TN",-86.61774973362739,34.65061030848566,852756,4545.182,163.53199999999998,true
292,"Idaho Falls-Rexburg-Blackfoot, ID",-112.0079125838765,43.55929821810894,271722,9623.109,111.141,true
294,"Indianapolis-Carmel-Muncie, IN",-86.07750146322834,39.83123173767021,2599880,7812.121999999999,53.405,true
296,"Ithaca-Cortland, NY",-76.37702922505765,42.50093237398475,152549,973.4159999999999,19.651,true
298,"Jackson-Vicksburg-Brookhaven, MS",-90.19025973358285,32.306747375593375,699597,7189.128000000001,122.17900000000003,true
300,"Jacksonville-Kingsland-Palatka, FL-GA",-81.6283475585732,30.22673023683848,1733937,4560.535,746.725,true
304,"Johnson City-Kingsport-Bristol, TN-VA",-82.44696313734899,36.42676913368578,585051,3486.37,49.152,true
306,"Johnstown-Somerset, PA",-78.87621749032328,40.27272316981614,207601,1762.557,11.831,true
308,"Jonesboro-Paragould, AR",-90.61785720356097,35.86620790205744,179932,2042.7930000000001,12.933,true
309,"Joplin-Miami, MO-OK-KS",-94.51364554889726,37.039914257171425,231056,2321.644,21.831,true
310,"Kalamazoo-Battle Creek-Portage, MI",-85.43736159187493,42.22049242570127,456919,1768.813,50.842,true
312,"Kansas City-Overland Park-Kansas City, MO-KS",-94.61089037051045,39.052758348406094,2528644,11200.201,167.067,true
313,"Keene-Brattleboro, NH-VT",-72.39830124265768,42.91856335111103,122363,1492.175,34.945,true
314,"Kennewick-Richland-Walla Walla, WA",-119.08501090457142,46.223337287286384,366206,4211.757,111.86800000000001,true
315,"Knoxville-Morristown-Sevierville, TN",-83.91832401279012,35.974320541192064,1156861,4965.814999999999,214.918,true
317,"La Crosse-Onalaska-Sparta, WI-MN",-91.05538394855205,43.829948418008904,216615,2696.314,77.038,true
318,"Lafayette-New Iberia-Opelousas, LA",-92.04851784785258,30.20981443091577,560924,4332.894,922.071,true
320,"Lafayette-West Lafayette-Frankfort, IN",-86.84124567865334,40.44708339053034,281594,2552.446,12.654,true
324,"Lake Charles-DeRidder, LA",-93.20326631819762,30.284234913715956,291201,4157.72,697.8449999999999,true
330,"Lansing-East Lansing-Owosso, MI",-84.50492674338976,42.740570440216736,541297,2228.603,27.051,true
332,"Las Vegas-Henderson, NV",-115.1745597627706,36.147223012663076,2317052,26073.565000000002,185.95399999999998,true
334,"Lawton-Duncan, OK",-98.29693625992043,34.59364754818879,169500,2572.1699999999996,44.972,true
336,"Lexington-Fayette--Richmond--Frankfort, KY",-84.4525839690567,37.987724469319566,762082,3566.657,39.641,true
338,"Lima-Van Wert-Celina, OH",-84.30662406882173,40.678569497194296,220087,1675.5300000000002,17.07,true
339,"Lincoln-Beatrice, NE",-96.69500077945523,40.77186981744359,361921,2260.452,21.777,true
340,"Little Rock-North Little Rock, AR",-92.2705438603691,34.79304533920813,899663,6588.155999999999,167.875,true
348,"Los Angeles-Long Beach, CA",-117.95933443904084,33.99806931692386,18644680,33970.191999999995,1343.925,true
350,"Louisville/Jefferson County--Elizabethtown, KY-IN",-85.70063193007924,38.170844925591624,1487749,4844.906000000001,88.84100000000001,true
352,"Lubbock-Plainview, TX",-101.8884696668694,33.602342828120825,389192,7261.380999999999,11.725999999999999,true
356,"Macon-Bibb County--Warner Robins, GA",-83.69539078125257,32.73065237279274,425416,2249.9210000000003,18.982,true
357,"Madison-Janesville-Beloit, WI",-89.38914729590363,43.03285165874719,910246,4858.491,102.944,true
359,"Mankato-New Ulm, MN",-94.13078719176964,44.19899938145476,129478,1807.5500000000002,43.248,true
360,"Mansfield-Ashland-Bucyrus, OH",-82.5430239835521,40.790405377506744,219408,1320.0,9.608,true
361,"Marinette-Iron Mountain, WI-MI",-87.84546644733159,45.44553921388416,95879,3692.5779999999995,469.613,true
365,"McAllen-Edinburg, TX",-98.23082188452616,26.246602389787135,936701,2794.1360000000004,17.794,true
366,"Medford-Grants Pass, OR",-123.00750835664661,42.36380095051213,311349,4421.901,20.233999999999998,true
368,"Memphis-Clarksdale-Forrest City, TN-MS-AR",-89.90570933331884,35.08468199042237,1389905,6169.723999999999,156.304,true
370,"Miami-Port St. Lucie-Fort Lauderdale, FL",-80.26538436319446,26.201827056513068,6908296,8437.432,5882.77,true
371,"Middlesborough-Corbin, KY",-83.97741181084821,36.95254543359968,173960,2086.484,22.326,true
372,"Midland-Odessa-Andrews, TX",-102.25520094880599,31.95935096447085,359001,4213.893,6.718,true
376,"Milwaukee-Racine-Waukesha, WI",-88.12497577511353,43.03637956630473,2053232,3775.0849999999996,2405.404,true
378,"Minneapolis-St. Paul, MN-WI",-93.3171492782871,44.996531795268105,4078788,10972.502,583.9839999999999,true
380,"Mobile-Daphne-Fairhope, AL",-88.02674195919879,30.631480816443855,646576,2819.21,852.115,true
384,"Monroe-Ruston, LA",-92.18973012196106,32.56263744695746,275543,3309.448,70.47800000000001,true
388,"Montgomery-Selma, AL",-86.34910673782367,32.413208318688184,424509,3693.1440000000002,87.093,true
393,"Moses Lake-Othello, WA",-119.39094570975237,47.09656207265985,119736,4604.539000000001,116.71000000000001,true
394,"Mount Pleasant-Alma, MI",-84.73553079111299,43.50451840540718,106155,1141.08,8.23,true
396,"Myrtle Beach-Conway, SC",-78.98575968241622,33.730855951183905,414433,1946.9180000000001,342.641,true
400,"Nashville-Davidson--Murfreesboro, TN",-86.66883682159309,36.014327028539526,2250282,8880.845,106.981,true
404,"New Bern-Morehead City, NC",-76.96015813135006,34.953552617295394,189854,2022.0600000000002,1116.958,true
406,"New Orleans-Metairie-Slidell, LA-MS",-90.07900714944819,30.09762848097823,1373453,4684.416000000001,4680.4929999999995,true
408,"New York-Newark, NY-NJ-CT-PA",-73.9731585316184,40.75863823432866,21485506,10609.091000000002,2652.944,true
412,"North Port-Bradenton, FL",-82.38488764903562,27.2619174821614,1054539,2616.578,909.347,true
416,"Oklahoma City-Shawnee, OK",-97.49568934415106,35.44776700055135,1498149,6299.5289999999995,75.65700000000001,true
420,"Omaha-Fremont, NE-IA",-96.0592596718844,41.24847962887265,1004771,4875.38,74.818,true
422,"Orlando-Lakeland-Deltona, FL",-81.46275443858461,28.56451960394535,4197095,7432.911,1172.108,true
424,"Paducah-Mayfield, KY-IL",-88.66630248575193,36.98062137048561,140135,1787.2649999999999,94.663,true
425,"Parkersburg-Marietta-Vienna, WV-OH",-81.52067430965577,39.316769847240735,149261,1230.9850000000001,20.546999999999997,true
427,"Peoria-Canton, IL",-89.60336352521671,40.69748240353041,402391,3333.3340000000003,67.353,true
428,"Philadelphia-Reading-Camden, PA-NJ-DE-MD",-75.25846392609724,39.93509604847933,7379700,7336.0650000000005,1168.368,true
429,"Phoenix-Mesa, AZ",-111.99434872439603,33.45747011579587,4899104,19325.169,70.331,true
430,"Pittsburgh-Weirton-Steubenville, PA-OH-WV",-79.96203467258195,40.492595232298854,2767801,7720.154,93.49799999999999,true
438,"Portland-Lewiston-South Portland, ME",-70.37167007403956,43.71664033291898,662879,2549.33,804.995,true
440,"Portland-Vancouver-Salem, OR-WA",-122.75699258813265,45.39565993179336,3280736,12715.147,197.82299999999998,true
444,"Pueblo-Cañon City, CO",-104.77464280303879,38.30210355928807,217101,3920.461,12.036999999999999,true
446,"Pullman-Moscow, WA-ID",-117.09007947661308,46.77056018157504,87490,3235.129,19.543,true
448,"Quincy-Hannibal, IL-MO",-91.4000818726469,39.87332657346335,114649,2266.875,43.32599999999999,true
450,"Raleigh-Durham-Cary, NC",-78.74651055298155,35.80419700953877,2242324,4978.9,109.583,true
452,"Rapid City-Spearfish, SD",-103.32559293216619,44.14443028775698,173160,8604.695,21.941999999999997,true
454,"Redding-Red Bluff, CA",-122.2785122777356,40.455294777062235,247984,6724.657,84.914,true
456,"Reno-Carson City-Gardnerville Ranchos, NV-CA",-119.70893643155324,39.44124643049726,684678,15126.246,367.69199999999995,true
458,"Richmond-Connersville, IN",-85.00043913794437,39.79051693001745,89951,616.775,2.729,true
462,"Rochester-Austin-Winona, MN",-92.38923196521647,43.97574186925567,316029,3814.4990000000003,44.644,true
464,"Rochester-Batavia-Seneca Falls, NY",-77.57960657046698,43.098568806484835,1157563,3744.5099999999998,2011.2129999999997,true
466,"Rockford-Freeport-Rochelle, IL",-89.11775155818724,42.275027877623984,435216,2116.692,12.728000000000002,true
468,"Rocky Mount-Wilson-Roanoke Rapids, NC",-77.81149455399924,35.978925592598365,288747,2673.887,29.740000000000002,true
472,"Sacramento-Roseville, CA",-121.33278333375574,38.687174243157436,2680831,7287.3910000000005,245.353,true
474,"Saginaw-Midland-Bay City, MI",-84.04417466039895,43.51663915701744,377474,1760.6550000000002,214.097,true
476,"St. Louis-St. Charles-Farmington, MO-IL",-90.35027451649236,38.63469862172193,2924904,8888.089,224.71099999999998,true
480,"Salisbury-Ocean Pines, MD",-75.50969463043312,38.31972717216109,180668,1162.58,542.84,true
482,"Salt Lake City-Provo-Orem, UT-ID",-111.89577278963152,40.67789152662701,2705693,24556.424,2009.418,true
484,"San Antonio-New Braunfels-Kerrville, TX",-98.51088802861896,29.519831634480596,2637466,9474.717999999999,65.10300000000001,true
488,"San Jose-San Francisco-Oakland, CA",-121.92602867472672,37.662701709801446,9225160,11991.692,1350.2379999999998,true
496,"Savannah-Hinesville-Statesboro, GA",-81.36881967775732,32.06324578321187,608239,3767.042,330.81100000000004,true
500,"Seattle-Tacoma, WA",-122.34513182614039,47.53145560372921,4953421,12288.365000000002,1281.97,true
508,"Shreveport-Bossier City-Minden, LA",-93.71645578114766,32.49452726354348,430373,3188.7259999999997,124.73599999999999,true
512,"Sioux City-Le Mars, IA-NE-SD",-96.36052814985639,42.53823960351581,170032,2460.757,15.296,true
515,"South Bend-Elkhart-Mishawaka, IN-MI",-86.13033560845085,41.679883283046394,812199,2953.8909999999996,1069.383,true
517,"Spencer-Spirit Lake, IA",-95.14649855335486,43.26321516478423,34087,947.77,28.782999999999998,true
518,"Spokane-Spokane Valley-Coeur d'Alene, WA-ID",-117.27560924542875,47.73007652491461,757146,5479.097,150.894,true
521,"Springfield-Amherst Town-Northampton, MA",-72.57229711671881,42.21498896777285,699162,1843.443,60.491,true
522,"Springfield-Jacksonville-Lincoln, IL",-89.66397082486085,39.77883322855347,308523,3329.9269999999997,22.278,true
523,"Starkville-Columbus, MS",-88.63759274740609,33.466128440073966,130878,2079.998,21.607,true
524,"State College-DuBois, PA",-78.0596014273208,40.89100867169318,238734,2254.0330000000004,13.556999999999999,true
532,"Syracuse-Auburn, NY",-76.18968169718612,43.09878936125585,738305,3076.472,566.1759999999999,true
533,"Tallahassee-Bainbridge, FL-GA",-84.31478747741983,30.48823240179372,413665,2986.541,456.45599999999996,true
536,"Tucson-Nogales, AZ",-110.9574978846953,32.18247232562767,1091102,10424.932,3.159,true
538,"Tulsa-Bartlesville-Muskogee, OK",-95.88167305621072,36.11162327815629,1134125,7496.374000000001,228.174,true
539,"Tupelo-Corinth, MS",-88.60222562151161,34.4643092826587,166954,1797.7889999999998,15.395000000000001,true
540,"Tyler-Jacksonville, TX",-95.28587028937194,32.25286735229718,283891,1974.4279999999999,37.466,true
542,"Union City-Martin, TN",-88.92167835137576,36.343090046428735,63689,1125.1999999999998,12.029,true
544,"Victoria-Port Lavaca, TX",-96.95134044648472,28.778201896476606,118437,2241.054,539.812,true
545,"Virginia Beach-Chesapeake, VA-NC",-76.31180085230318,36.880699586282844,1857542,3811.982,2572.5440000000003,true
548,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA",-77.06787882277104,39.03443518297293,10028331,13200.582999999997,2014.104,true
554,"Wausau-Stevens Point-Wisconsin Rapids, WI",-89.72954421117444,44.69284182534138,282597,3139.107,69.298,true
555,"Weatherford-Elk City, OK",-99.11596516298708,35.43888557676201,61847,2893.5429999999997,21.015,true
556,"Wichita-Arkansas City-Winfield, KS",-97.29672642341114,37.66500005545334,682159,5273.805,39.948,true
558,"Williamsport-Lock Haven, PA",-77.09689959336272,41.222313991941334,151638,2116.904,23.975,true
566,"Youngstown-Warren-Salem, OH",-80.72728348124475,41.06989685930422,532468,1561.5059999999999,34.977000000000004,true
